affect;likableness
29.5;10.5
26.0;8.5
46.0;0.0
73.0;5.0
64.0;22.5
59.5;25.0
70.0;28.5
50.0;0.0
0.0;22.5
68.5;17.0
100.0;6.5
60.0;10.0
90.0;29.5
58.0;16.5
75.0;15.5
31.0;40.0
92.5;15.5
100.0;42.5
10.0;32.5
0.0;20.5
31.0;11.5
19.5;13.0
0.5;23.0
0.0;0.0
80.0;9.0
28.0;90.0
9.5;20.5
59.5;88.0
83.0;100.0
76.0;93.0
12.5;77.0
94.0;65.5
80.0;85.0
42.0;96.0
82.5;100.0
100.0;100.0
85.0;99.5
66.0;75.5
0.0;100.0
44.5;97.5
55.0;94.5
82.5;100.0
55.5;90.0
74.0;88.5
80.0;95.0
67.0;87.5
56.5;99.0
84.0;35.0
65.0;87.5
64.5;100.0
60.5;10.0
54.5;100.0
83.0;94.5
63.5;1.5
5.0;99.0
29.5;88.0
92.5;82.5
0.0;94.5
30.5;80.5
5.0;22.5
73.5;24.5
85.5;10.0
20.0;29.5
100.0;6.0
45.0;5.0
80.0;12.5
15.0;4.0
95.5;10.0
43.5;27.5
40.0;28.5
91.5;10.5
74.5;60.0
77.0;17.0
77.0;4.5
81.0;9.0
85.0;8.5
24.0;12.5
65.0;0.0
69.0;4.5
59.5;0.0
84.5;80.0
89.5;86.0
17.5;76.5
0.0;77.5
82.5;59.5
38.0;82.0
20.0;56.5
56.5;76.5
57.5;80.0
71.0;86.5
19.5;72.5
85.5;20.0
40.5;75.0
54.5;0.0
40.0;0.5
24.5;13.0
45.0;90.5
74.5;20.0
55.0;7.0
40.0;9.5
37.0;20.5
81.0;1.0
62.5;13.0
94.5;45.0
71.0;27.5
60.0;24.5
79.0;9.5
20.0;18.0
60.0;19.0
5.0;13.0
65.0;22.0
75.0;9.5
86.0;21.5
81.0;85.0
65.0;50.0
45.0;23.0
65.0;60.0
97.0;13.5
95.0;15.0
30.5;24.0
5.5;35.0
49.5;10.0
89.5;40.0
64.5;7.0
89.5;40.0
0.0;0.0
89.0;9.0
37.0;2.0
75.0;17.5
98.0;29.5
49.0;21.0
70.0;0.0
100.0;15.5
98.5;80.5
75.0;69.5
100.0;80.0
73.0;40.5
60.0;30.0
85.0;16.5
21.0;9.5
24.5;15.0
21.5;20.5
39.5;10.0
10.0;30.0
15.5;45.0
11.0;71.0
100.0;99.5
0.5;82.5
30.0;89.0
27.5;65.0
42.5;0.0
37.0;16.0
13.5;20.0
67.5;20.0
63.5;0.0
13.0;37.0
21.5;12.5
35.0;0.0
21.0;22.5
56.0;9.5
83.5;0.0
85.0;45.0
49.5;3.5
25.0;35.0
54.5;29.5
0.0;12.5
93.0;29.5
7.5;10.0
89.5;16.0
67.0;67.5
69.0;77.5
47.0;90.5
57.0;80.0
44.0;100.0
55.0;85.0
45.0;90.5
30.0;60.0
65.0;90.0
54.0;91.0
55.5;85.0
17.5;62.5
17.5;69.0
5.0;49.5
67.5;59.5
76.5;62.5
35.0;63.5
95.0;70.0
50.5;60.5
70.0;97.5
37.5;42.5
43.0;94.5
50.0;83.5
50.0;50.0
56.0;75.5
36.0;80.0
31.5;66.5
87.5;20.0
30.0;45.0
0.0;99.5
64.0;67.5
27.5;80.0
95.0;55.0
62.0;78.0
56.0;93.0
20.5;70.5
49.5;76.5
42.5;81.5
77.5;83.0
30.0;10.0
0.0;25.0
50.0;2.0
30.0;71.5
40.0;95.0
45.0;100.0
63.0;87.5
60.0;95.5
40.0;75.0
36.5;97.5
74.0;90.0
50.0;93.5
46.0;100.0
39.5;88.0
67.5;94.5
85.0;98.5
54.5;92.5
66.0;69.0
35.0;100.0
87.5;51.5
98.5;100.0
75.0;15.0
34.0;5.0
80.0;9.0
55.0;10.0
67.5;2.0
82.0;19.5
74.0;7.0
62.5;1.0
46.5;9.0
65.0;14.0
40.0;22.5
0.0;0.0
36.5;35.0
93.0;97.0
88.0;99.5
95.0;90.5
25.5;87.5
34.5;82.0
98.5;86.5
90.0;16.0
62.5;10.0
66.0;24.5
64.5;8.5
90.0;11.0
50.0;17.5
76.5;8.5
0.0;12.5
69.0;30.0
33.5;28.0
71.5;22.0
71.5;17.5
35.0;4.5
60.0;24.0
75.0;20.0
59.0;4.5
75.0;6.0
19.0;20.0
64.0;30.0
78.5;94.5
40.0;90.5
94.0;91.0
52.5;100.0
37.0;100.0
25.5;84.5
74.5;20.5
73.5;9.5
54.5;0.0
10.0;19.5
80.5;0.0
0.0;7.5
56.0;25.5
30.0;14.5
95.0;0.0
84.0;4.5
62.5;44.5
52.5;30.5
100.0;2.5
97.5;24.5
77.5;10.5
8.5;27.5
41.0;16.0
100.0;24.0
22.5;14.0
44.5;7.5
67.5;25.5
67.0;20.0
83.0;50.5
80.0;4.0
60.0;0.0
72.5;1.0
95.0;0.0
50.0;38.5
73.0;9.0
66.0;21.0
79.5;22.5
37.5;12.5
70.0;0.0
70.5;6.0
44.5;2.5
20.0;12.5
55.5;28.5
91.0;4.5
20.0;0.0
36.5;22.5
80.5;11.0
76.0;0.0
25.0;39.5
26.0;15.5
5.0;9.5
36.5;55.0
5.0;25.0
74.5;31.5
36.5;1.0
47.5;5.0
15.0;10.0
17.5;10.0
8.0;4.0
37.5;0.0
72.0;0.0
85.5;2.5
91.5;1.0
70.0;0.0
65.0;28.5
31.0;2.5
79.0;10.0
60.0;15.0
30.5;0.5
40.5;20.0
71.5;19.0
30.0;36.0
53.5;9.0
95.0;28.5
0.0;5.5
44.5;25.0
57.5;4.0
75.0;5.0
67.0;5.0
54.5;56.0
90.0;13.5
54.5;65.5
29.0;11.5
75.0;30.0
85.5;7.0
12.5;12.0
25.0;12.0
43.0;24.5
55.0;17.5
75.0;6.0
10.0;10.5
45.5;88.5
0.0;1.5
23.5;100.0
56.5;100.0
14.5;80.0
65.0;81.0
49.0;87.5
0.0;75.5
5.0;100.0
32.5;91.0
10.0;95.0
21.0;84.0
99.5;77.5
75.5;84.5
13.0;90.0
22.0;90.0
24.0;85.0
68.5;80.0
22.5;90.0
32.5;69.5
62.5;81.0
30.5;72.5
100.0;89.0
74.5;89.0
69.0;83.0
35.0;99.0
36.0;92.5
0.0;79.0
50.0;90.0
85.0;91.0
11.0;87.5
11.5;84.5
55.5;75.0
40.0;83.0
100.0;70.0
56.0;76.0
85.0;100.0
87.0;85.0
66.0;96.5
81.5;95.0
85.5;89.0
90.5;87.5
95.0;90.0
80.0;78.0
85.5;89.5
0.0;93.5
95.0;66.5
80.0;87.5
44.5;33.0
45.0;25.0
89.5;27.5
31.0;20.0
80.0;11.5
75.0;15.0
88.5;19.5
70.0;17.0
80.5;25.0
27.0;7.5
14.5;12.5
83.5;11.5
30.0;15.0
11.5;24.5
97.0;20.5
80.0;12.5
100.0;0.0
66.5;30.0
91.5;19.5
82.5;15.5
68.0;45.0
96.0;34.5
100.0;77.5
91.0;80.5
64.0;89.5
70.0;85.0
95.0;84.0
91.0;80.0
95.0;90.0
98.0;71.0
85.5;95.0
44.0;80.0
100.0;80.0
63.5;5.0
100.0;0.0
95.0;0.0
100.0;12.0
57.5;2.5
90.0;42.5
97.5;30.5
93.5;17.5
70.0;82.5
15.0;88.0
33.0;100.0
50.0;87.0
69.5;97.5
55.5;80.0
30.0;79.0
15.0;2.0
39.0;0.0
100.0;0.0
39.0;7.5
35.5;1.0
100.0;79.5
18.0;2.5
65.0;6.5
40.0;0.0
50.5;15.0
87.0;1.0
80.0;20.0
75.0;15.0
65.0;10.0
70.5;7.5
64.0;33.0
73.5;85.0
90.0;86.0
70.0;87.5
52.5;85.0
95.0;87.5
75.0;73.0
61.5;79.0
69.5;100.0
88.0;95.0
85.0;95.5
40.5;75.0
95.0;49.0
80.0;80.0
80.0;93.0
86.5;90.0
90.0;82.5
54.0;87.5
85.5;100.0
77.0;95.5
95.0;82.0
60.0;78.5
92.0;81.5
84.5;0.0
82.0;94.0
79.5;8.5
65.5;4.5
35.0;69.5
83.0;80.0
92.5;55.0
84.5;94.0
100.0;82.0
60.5;83.5
67.5;100.0
28.0;92.0
60.5;55.0
51.5;64.0
50.0;88.0
3.0;77.0
22.0;90.0
87.5;75.0
0.0;79.0
34.5;82.5
87.0;70.0
65.5;70.0
62.5;87.0
75.0;96.0
100.0;75.0
9.0;90.0
15.0;11.5
53.5;17.5
83.0;24.0
1.0;19.0
20.0;8.5
22.5;15.5
53.0;15.0
42.5;7.5
46.0;22.5
10.0;20.0
61.5;17.5
0.0;73.0
32.5;97.0
20.5;100.0
80.5;65.5
25.0;100.0
47.0;82.5
40.0;73.0
31.5;79.0
29.5;0.0
66.0;79.0
100.0;100.0
100.0;92.5
94.0;100.0
36.0;100.0
0.0;90.5
84.5;98.5
22.5;100.0
49.5;100.0
23.5;78.5
57.0;96.5
66.0;89.0
9.5;100.0
20.5;94.0
34.5;100.0
25.0;95.0
70.5;99.5
22.5;100.0
30.0;95.0
43.5;84.0
29.0;75.0
69.5;78.5
73.0;85.0
94.0;93.5
100.0;92.5
100.0;100.0
90.5;95.0
75.0;64.5
79.0;83.5
54.5;80.0
81.5;95.0
54.5;96.5
0.0;100.0
78.5;70.0
90.0;85.0
80.0;73.5
76.0;100.0
94.5;82.5
70.5;80.5
85.5;100.0
46.0;92.0
70.0;86.0
65.5;69.5
90.0;86.0
95.0;85.5
93.5;73.0
45.5;92.0
75.0;100.0
62.0;42.5
32.0;15.0
14.5;25.0
20.0;55.0
85.0;11.5
95.0;15.0
97.5;30.0
46.0;18.0
62.5;10.0
95.0;28.0
49.0;24.0
87.5;30.0
41.0;44.5
83.0;19.0
33.0;29.0
5.0;22.5
5.0;40.0
68.5;49.5
70.5;24.0
45.0;4.0
0.0;70.0
26.0;30.5
62.0;89.0
13.5;84.5
20.0;99.5
18.5;87.0
18.5;85.0
72.5;93.0
38.5;80.5
60.5;80.5
58.0;100.0
56.5;89.0
40.0;85.0
90.0;10.0
45.5;0.0
10.0;0.0
30.5;12.0
100.0;0.0
94.5;0.0
58.0;32.0
65.0;2.5
85.0;95.0
79.5;100.0
75.5;100.0
56.5;93.5
84.5;80.0
86.5;100.0
36.5;67.5
60.5;98.0
67.0;99.0
76.5;100.0
45.0;90.0
95.0;100.0
77.5;93.0
95.0;97.5
79.5;90.0
100.0;100.0
99.0;90.0
76.5;96.0
88.0;80.0
71.5;89.5
65.5;69.5
54.0;76.0
92.5;58.5
100.0;87.5
53.5;93.0
65.0;87.0
77.5;87.5
48.0;92.5
92.5;80.0
90.0;65.5
67.0;75.0
41.0;77.5
80.0;81.5
85.5;80.0
42.5;74.0
11.5;79.0
10.0;70.5
12.5;85.0
66.5;89.0
57.0;84.5
