Concept,Subject,Rating
1,1,10
1,1,49
2,1,80
2,1,90
3,1,89
3,1,100
4,1,90
4,1,98
5,1,89
5,1,80
6,1,99
6,1,99
7,1,40
7,1,40
8,1,100
8,1,90
9,1,90
9,1,85
10,1,50
10,1,80
11,1,0
11,1,1
12,1,79
12,1,81
13,1,10
13,1,0
14,1,0
14,1,1
15,1,25
15,1,10
16,1,100
16,1,94
17,1,89
17,1,99
18,1,50
18,1,39
19,1,21
19,1,90
20,1,59
20,1,39
21,1,77
21,1,90
22,1,40
22,1,30
23,1,90
23,1,80
24,1,10
24,1,77
25,1,0
25,1,30
26,1,0
26,1,50
27,1,30
27,1,39
28,1,90
28,1,80
29,1,31
29,1,41
30,1,99
30,1,20
31,1,91
31,1,80
32,1,1
32,1,30
33,1,30
33,1,79
34,1,100
34,1,100
35,1,80
35,1,89
36,1,40
36,1,50
1,3,85
1,3,80
2,3,60
2,3,70
3,3,60
3,3,10
4,3,100
4,3,100
5,3,5
5,3,10
6,3,90
6,3,100
7,3,5
7,3,0
8,3,100
8,3,100
9,3,70
9,3,20
10,3,0
10,3,0
11,3,15
11,3,40
12,3,0
12,3,0
13,3,100
13,3,85
14,3,80
14,3,80
15,3,26
15,3,50
16,3,100
16,3,100
17,3,100
17,3,100
18,3,100
18,3,90
19,3,100
19,3,100
20,3,0
20,3,10
21,3,15
21,3,15
22,3,65
22,3,85
23,3,40
23,3,70
24,3,0
24,3,0
25,3,100
25,3,50
26,3,0
26,3,0
27,3,0
27,3,0
28,3,0
28,3,0
29,3,15
29,3,30
30,3,40
30,3,90
31,3,100
31,3,100
32,3,19
32,3,60
33,3,80
33,3,90
34,3,70
34,3,100
35,3,0
35,3,10
36,3,0
36,3,0
1,4,33
1,4,24
2,4,63
2,4,64
3,4,98
3,4,84
4,4,100
4,4,81
5,4,50
5,4,32
6,4,51
6,4,61
7,4,23
7,4,29
8,4,57
8,4,53
9,4,87
9,4,67
10,4,50
10,4,43
11,4,46
11,4,39
12,4,63
12,4,37
13,4,37
13,4,22
14,4,19
14,4,37
15,4,40
15,4,34
16,4,80
16,4,53
17,4,44
17,4,88
18,4,66
18,4,41
19,4,58
19,4,54
20,4,49
20,4,16
21,4,38
21,4,28
22,4,59
22,4,59
23,4,34
23,4,30
24,4,35
24,4,29
25,4,52
25,4,80
26,4,38
26,4,47
27,4,25
27,4,19
28,4,31
28,4,41
29,4,60
29,4,9
30,4,32
30,4,16
31,4,66
31,4,24
32,4,20
32,4,23
33,4,49
33,4,76
34,4,57
34,4,85
35,4,92
35,4,55
36,4,29
36,4,26
1,5,10
1,5,49
2,5,71
2,5,49
3,5,30
3,5,60
4,5,70
4,5,80
5,5,48
5,5,60
6,5,59
6,5,71
7,5,20
7,5,0
8,5,83
8,5,70
9,5,29
9,5,80
10,5,49
10,5,30
11,5,11
11,5,63
12,5,40
12,5,20
13,5,9
13,5,1
14,5,19
14,5,0
15,5,20
15,5,20
16,5,92
16,5,91
17,5,80
17,5,86
18,5,50
18,5,10
19,5,90
19,5,80
20,5,10
20,5,10
21,5,50
21,5,50
22,5,80
22,5,70
23,5,70
23,5,50
24,5,19
24,5,10
25,5,0
25,5,0
26,5,0
26,5,50
27,5,5
27,5,1
28,5,19
28,5,51
29,5,50
29,5,49
30,5,81
30,5,89
31,5,70
31,5,90
32,5,29
32,5,20
33,5,81
33,5,69
34,5,80
34,5,91
35,5,41
35,5,80
36,5,11
36,5,0
1,6,1
1,6,22
2,6,50
2,6,52
3,6,44
3,6,54
4,6,89
4,6,69
5,6,70
5,6,46
6,6,83
6,6,92
7,6,2
7,6,19
8,6,72
8,6,69
9,6,53
9,6,48
10,6,27
10,6,21
11,6,8
11,6,19
12,6,29
12,6,51
13,6,88
13,6,39
14,6,89
14,6,30
15,6,72
15,6,41
16,6,82
16,6,83
17,6,91
17,6,78
18,6,87
18,6,56
19,6,98
19,6,76
20,6,26
20,6,16
21,6,81
21,6,60
22,6,30
22,6,8
23,6,57
23,6,54
24,6,8
24,6,32
25,6,17
25,6,24
26,6,18
26,6,22
27,6,29
27,6,71
28,6,90
28,6,48
29,6,39
29,6,8
30,6,81
30,6,81
31,6,49
31,6,60
32,6,8
32,6,34
33,6,75
33,6,48
34,6,91
34,6,98
35,6,53
35,6,62
36,6,19
36,6,10
1,7,9
1,7,46
2,7,61
2,7,58
3,7,65
3,7,56
4,7,65
4,7,44
5,7,77
5,7,53
6,7,47
6,7,48
7,7,64
7,7,60
8,7,70
8,7,47
9,7,59
9,7,64
10,7,35
10,7,37
11,7,66
11,7,61
12,7,53
12,7,37
13,7,87
13,7,79
14,7,83
14,7,83
15,7,57
15,7,58
16,7,77
16,7,59
17,7,60
17,7,47
18,7,59
18,7,56
19,7,78
19,7,54
20,7,74
20,7,77
21,7,68
21,7,60
22,7,90
22,7,67
23,7,59
23,7,41
24,7,17
24,7,35
25,7,52
25,7,55
26,7,11
26,7,39
27,7,64
27,7,39
28,7,52
28,7,57
29,7,58
29,7,56
30,7,78
30,7,76
31,7,61
31,7,60
32,7,66
32,7,69
33,7,71
33,7,63
34,7,54
34,7,39
35,7,65
35,7,65
36,7,37
36,7,47
1,8,65
1,8,65
2,8,75
2,8,72
3,8,75
3,8,74
4,8,83
4,8,80
5,8,85
5,8,85
6,8,80
6,8,87
7,8,88
7,8,67
8,8,100
8,8,90
9,8,83
9,8,89
10,8,69
10,8,67
11,8,64
11,8,70
12,8,67
12,8,59
13,8,85
13,8,80
14,8,75
14,8,77
15,8,76
15,8,66
16,8,100
16,8,92
17,8,100
17,8,75
18,8,15
18,8,66
19,8,85
19,8,78
20,8,60
20,8,65
21,8,80
21,8,67
22,8,80
22,8,67
23,8,70
23,8,71
24,8,58
24,8,66
25,8,68
25,8,98
26,8,75
26,8,70
27,8,54
27,8,67
28,8,65
28,8,69
29,8,68
29,8,64
30,8,83
30,8,71
31,8,58
31,8,71
32,8,75
32,8,63
33,8,67
33,8,70
34,8,94
34,8,94
35,8,81
35,8,65
36,8,58
36,8,56
1,9,6
1,9,5
2,9,55
2,9,76
3,9,55
3,9,61
4,9,49
4,9,60
5,9,85
5,9,74
6,9,86
6,9,90
7,9,5
7,9,20
8,9,90
8,9,91
9,9,60
9,9,79
10,9,5
10,9,10
11,9,10
11,9,16
12,9,60
12,9,60
13,9,79
13,9,5
14,9,4
14,9,21
15,9,19
15,9,20
16,9,100
16,9,100
17,9,49
17,9,59
18,9,59
18,9,61
19,9,91
19,9,80
20,9,20
20,9,6
21,9,100
21,9,80
22,9,50
22,9,30
23,9,79
23,9,51
24,9,10
24,9,17
25,9,10
25,9,18
26,9,10
26,9,5
