Concept,Subject,Rating
1,1,49
1,1,50
2,1,80
2,1,90
3,1,91
3,1,90
4,1,90
4,1,89
5,1,91
5,1,80
6,1,50
6,1,85
7,1,20
7,1,40
8,1,80
8,1,80
9,1,75
9,1,87
10,1,60
10,1,80
11,1,5
11,1,30
12,1,79
12,1,79
13,1,10
13,1,9
14,1,5
14,1,9
15,1,26
15,1,90
16,1,80
16,1,76
17,1,60
17,1,79
18,1,15
18,1,39
19,1,40
19,1,50
20,1,50
20,1,40
21,1,84
21,1,99
22,1,40
22,1,40
23,1,80
23,1,80
24,1,84
24,1,79
25,1,30
25,1,40
26,1,90
26,1,85
27,1,40
27,1,49
28,1,90
28,1,79
29,1,30
29,1,40
30,1,10
30,1,10
31,1,51
31,1,50
32,1,20
32,1,30
33,1,30
33,1,50
34,1,71
34,1,79
35,1,80
35,1,90
36,1,40
36,1,50
1,3,20
1,3,25
2,3,100
2,3,100
3,3,100
3,3,100
4,3,100
4,3,91
5,3,100
5,3,100
6,3,80
6,3,80
7,3,10
7,3,15
8,3,95
8,3,95
9,3,100
9,3,100
10,3,85
10,3,80
11,3,25
11,3,20
12,3,100
12,3,95
13,3,0
13,3,10
14,3,0
14,3,0
15,3,32
15,3,30
16,3,100
16,3,94
17,3,80
17,3,65
18,3,12
18,3,20
19,3,30
19,3,30
20,3,0
20,3,40
21,3,74
21,3,75
22,3,0
22,3,5
23,3,100
23,3,80
24,3,100
24,3,94
25,3,16
25,3,5
26,3,100
26,3,100
27,3,15
27,3,25
28,3,100
28,3,100
29,3,20
29,3,25
30,3,32
30,3,40
31,3,37
31,3,40
32,3,45
32,3,40
33,3,40
33,3,30
34,3,75
34,3,70
35,3,95
35,3,100
36,3,30
36,3,30
1,4,35
1,4,23
2,4,73
2,4,88
3,4,90
3,4,88
4,4,85
4,4,85
5,4,93
5,4,86
6,4,95
6,4,91
7,4,24
7,4,17
8,4,54
8,4,88
9,4,76
9,4,92
10,4,72
10,4,86
11,4,5
11,4,10
12,4,74
12,4,85
13,4,9
13,4,18
14,4,38
14,4,12
15,4,61
15,4,22
16,4,60
16,4,91
17,4,62
17,4,86
18,4,56
18,4,18
19,4,25
19,4,20
20,4,39
20,4,20
21,4,83
21,4,86
22,4,53
22,4,13
23,4,74
23,4,85
24,4,67
24,4,87
25,4,24
25,4,33
26,4,67
26,4,94
27,4,37
27,4,11
28,4,95
28,4,87
29,4,14
29,4,14
30,4,41
30,4,16
31,4,34
31,4,17
32,4,19
32,4,24
33,4,27
33,4,21
34,4,83
34,4,90
35,4,95
35,4,94
36,4,19
36,4,22
1,5,19
1,5,19
2,5,80
2,5,81
3,5,90
3,5,80
4,5,90
4,5,90
5,5,79
5,5,80
6,5,95
6,5,80
7,5,30
7,5,19
8,5,90
8,5,90
9,5,88
9,5,90
10,5,70
10,5,80
11,5,19
11,5,11
12,5,90
12,5,80
13,5,9
13,5,0
14,5,0
14,5,10
15,5,3
15,5,11
16,5,89
16,5,90
17,5,59
17,5,91
18,5,10
18,5,19
19,5,10
19,5,20
20,5,11
20,5,10
21,5,90
21,5,90
22,5,0
22,5,10
23,5,99
23,5,70
24,5,89
24,5,90
25,5,8
25,5,10
26,5,100
26,5,89
27,5,0
27,5,9
28,5,90
28,5,91
29,5,9
29,5,9
30,5,10
30,5,11
31,5,19
31,5,9
32,5,9
32,5,10
33,5,10
33,5,20
34,5,70
34,5,90
35,5,77
35,5,89
36,5,20
36,5,10
1,6,46
1,6,43
2,6,93
2,6,93
3,6,97
3,6,90
4,6,95
4,6,88
5,6,84
5,6,90
6,6,96
6,6,90
7,6,24
7,6,6
8,6,79
8,6,81
9,6,87
9,6,91
10,6,91
10,6,89
11,6,19
11,6,12
12,6,92
12,6,80
13,6,0
13,6,2
14,6,2
14,6,16
15,6,2
15,6,4
16,6,82
16,6,83
17,6,84
17,6,76
18,6,2
18,6,9
19,6,12
19,6,12
20,6,0
20,6,3
21,6,91
21,6,98
22,6,2
22,6,4
23,6,69
23,6,77
24,6,92
24,6,93
25,6,21
25,6,13
26,6,99
26,6,99
27,6,7
27,6,28
28,6,95
28,6,94
29,6,1
29,6,1
30,6,4
30,6,7
31,6,29
31,6,19
32,6,24
32,6,20
33,6,7
33,6,20
34,6,72
34,6,81
35,6,85
35,6,82
36,6,13
36,6,6
1,7,34
1,7,26
2,7,84
2,7,86
3,7,94
3,7,91
4,7,88
4,7,89
5,7,90
5,7,90
6,7,81
6,7,93
7,7,13
7,7,10
8,7,80
8,7,88
9,7,81
9,7,85
10,7,71
10,7,83
11,7,6
11,7,11
12,7,92
12,7,83
13,7,2
13,7,3
14,7,4
14,7,1
15,7,33
15,7,15
16,7,93
16,7,80
17,7,43
17,7,87
18,7,21
18,7,19
19,7,9
19,7,15
20,7,5
20,7,6
21,7,81
21,7,87
22,7,6
22,7,10
23,7,75
23,7,62
24,7,91
24,7,91
25,7,11
25,7,12
26,7,90
26,7,86
27,7,20
27,7,24
28,7,91
28,7,82
29,7,1
29,7,13
30,7,4
30,7,8
31,7,21
31,7,11
32,7,19
32,7,7
33,7,6
33,7,8
34,7,54
